pergunta,resposta
"Qual o objetivo da disciplina de Histologia?","Proporcionar a compreensão, em nível microscópico, dos diferentes tecidos e sistemas orgânicos, bem como a compreensão das inter-relações morfológicas, estrutural e histofisiológicas que se estabelecem no organismo humano/animal."
"Qual a função dos Ribossomos?","Síntese de proteínas."
"Qual a função das Mitocôndrias?","Produção de energia para todas as atividades celulares por meio da respiração celular."
"Diferencie Retículo Endoplasmático Liso (REL) e Retículo Endoplasmático Rugoso (RER).","REL: transporte e armazenamento de substâncias e síntese de lipídios. RER: transporte e armazenamento de substâncias e síntese de proteínas."
"O que são Lisossomos e qual sua função?","Corpúsculos esféricos com grande quantidade de enzimas que degradam moléculas grandes ou organelas envelhecidas. Responsáveis pela digestão intracelular."
"Diferencie digestão celular heterofágica de autofágica.","Heterofágica: digerir produtos englobados pela célula (fagocitose e pinocitose). Autofágica: digestão de organelas e estruturas da própria célula (autofagia) ou destruição completa da célula (autólise)."
"Quais as funções do Complexo de Golgi?","Origina o acrossomo, formação do lisossomo, armazenamento e secreção celular."
"Qual a função dos Centríolos?","Divisão celular e origem de cílios e flagelos."
"Quais os três tipos de cartilagem?","Hialina, Fibrosa e Elástica."
"Onde é encontrada a cartilagem hialina?","Fossas nasais, laringe, traqueia, brônquios, extremidades dos ossos longos (epífises), articulações. É a mais comum e forma o primeiro esqueleto do feto."
"Onde é encontrada a cartilagem fibrosa?","Discos intervertebrais, sínfise púbica, articulações da mandíbula, fêmur e joelho, pontos de inserção de tendões. É a mais resistente."
"Onde é encontrada a cartilagem elástica?","Orelha e epiglote. Possui muitas fibras elásticas."
"Quais as principais características do tecido cartilaginoso?","Não possui vasos sanguíneos, linfáticos e nervos (avascular). Nutrição, crescimento e regeneração são feitos pelo pericôndrio e líquido sinovial. Matriz extracelular não mineralizada."
"Quais as funções do tecido cartilaginoso?","Sustentação de tecidos moles, revestimento de superfícies articulares, absorção de choques mecânicos, facilitação de deslizamentos entre os ossos e molde para formação dos ossos na vida embrionária."
"Quais as células do tecido cartilaginoso e suas funções?","Condroblastos (células jovens que secretam a matriz extracelular) e Condrócitos (células adultas que mantêm a integridade da matriz, alojadas em lacunas)."
"Quais as principais funções do tecido ósseo?","Suporte para partes moles, proteção de órgãos vitais, aloja e protege a medula óssea, apoio aos músculos e serve de alavanca, depósito de cálcio, fosfato e outros íons."
"Quais os componentes da matriz extracelular do tecido ósseo?","70% parte inorgânica (principalmente cálcio e fosfato) e 30% parte orgânica (colágeno, proteoglicanos e glicoproteínas)."
"Diferencie Osteoblastos, Osteócitos e Osteoclastos.","Osteoblastos: sintetizam a parte orgânica da matriz óssea e mineralizam. Osteócitos: células adultas que mantêm a matriz. Osteoclastos: células gigantes que reabsorvem o tecido ósseo."
"O que são canalículos no tecido ósseo?","Locais por onde passam os prolongamentos dos osteócitos que se comunicam com os vasos sanguíneos (nutrição)."
"Diferencie Periósteo e Endósteo.","Periósteo: reveste a superfície externa dos ossos. Endósteo: reveste a superfície interna dos ossos."
"Explique a ossificação intramembranosa.","O tecido conjuntivo embrionário é substituído diretamente por tecido ósseo."
"Explique a ossificação endocondral.","A cartilagem hialina embrionária é substituída por tecido ósseo, exceto na superfície articular e na placa epifisária."
"Quais as características básicas do tecido epitelial?","Células poliédricas adjacentes, muito próximas, com pouca ou nenhuma matriz extracelular. Células aderem firmemente por junções intercelulares. Avascular. Apresentam superfície apical e basal."
"Quais as funções do tecido epitelial?","Revestimento, absorção, excreção e secreção."
"O que é a membrana basal no tecido epitelial?","Matriz extracelular que separa o tecido epitelial do tecido conjuntivo vascular, composta por lâmina basal e lâmina reticular. Permite a nutrição por difusão."
"Cite e descreva três especializações da superfície das células epiteliais.","Microvilosidades (evaginações que aumentam a superfície de absorção), Estereocílios (microvilos longos para absorção ou função sensorial), Cílios (projeções que transportam material), Placas da Membrana (aumentam a superfície luminal do órgão), Invaginações/Pregas Basais (para transporte de líquidos e íons)."
"Como os epitélios são classificados quanto ao número de camadas?","Simples (uma camada), Estratificado (mais de uma camada), Pseudoestratificado (todas as células apoiam-se na lâmina basal, mas com núcleos em diferentes alturas)."
"Como os epitélios são classificados quanto à forma da célula?","Pavimentosa (achatada), Cúbica, Colunar (cilíndrica). Para epitélios estratificados, a classificação é pela forma das células mais superficiais. Existe também o epitélio de transição."
"Onde é encontrado o epitélio simples pavimentoso?","Revestimento dos alvéolos pulmonares, alça de Henle, cápsula de Bowman do rim, vasos sanguíneos e linfáticos (endotélio), mesotélio da pleura, pericárdio e peritônio."
"Onde é encontrado o epitélio simples cúbico?","Superfície externa do ovário, parede de túbulos em órgãos e ductos excretores de glândulas exócrinas."
"Onde é encontrado o epitélio simples colunar?","Grande parte do trato digestório, vesícula biliar, grandes ductos de glândulas. Pode ser ciliado (útero, ovidutos, ductos eferentes e bronquíolos)."
"Onde é encontrado o epitélio pseudoestratificado?","Traqueia (com cílios)."
"Diferencie glândulas exócrinas e endócrinas.","Exócrinas: conectadas à superfície epitelial por um ducto, liberam secreção para a superfície. Endócrinas: perdem a conexão com a superfície, liberam secreção diretamente para os vasos sanguíneos."
"Quais os tipos de glândulas exócrinas quanto ao tipo de secreção?","Serosa (fluido aquoso, ex: parótidas), Mucosa (muco, ex: glândulas de Brünner), Seromucosa (células serosas e mucosas, ex: submandibulares)."
"Quais os tipos de glândulas endócrinas quanto ao arranjo das células?","Vesicular (células em vesículas, ex: tireoide), Cordonial (células em cordões, ex: paratireoide)."
"Qual a principal característica do tecido conjuntivo?","Grande variedade de células e abundância de matriz extracelular."
"Quais as funções gerais do tecido conjuntivo?","Conexão, sustentação, preenchimento, absorção de impactos, resistência à tração, elasticidade, armazenamento de gorduras e íons, defesa do organismo, coagulação sanguínea, cicatrização e transporte de gases, nutrientes e hormônios."
"Quais os componentes da matriz extracelular do tecido conjuntivo?","Fibras colágenas, fibras elásticas e substância fundamental amorfa (glicoproteínas, proteoglicanos)."
"Qual a função do Fibroblasto?","Célula mais comum do tecido conjuntivo. Sintetiza os componentes da matriz extracelular (glicoproteínas, colágeno e elastina) e participa da cicatrização."
"Qual a função do Macrófago no tecido conjuntivo?","Fagocitar e digerir bactérias, substâncias estranhas e restos de células velhas. Secreta substâncias que destroem o material fagocitado."
"Qual a função do Plasmócito no tecido conjuntivo?","Produzir anticorpos, originado de linfócitos B."
"Qual a importância do Mastócito e sua relação com reações alérgicas?","Contém mediadores químicos da reação alérgica e processo inflamatório (receptores para IgE). A ligação de um antígeno à IgE desencadeia reações alérgicas (hipersensibilidade imediata ou anafilática)."